behavior,best_valid_result.mrr@10,best_valid_result.mrr@20,best_valid_result.ndcg@10,best_valid_result.ndcg@20,best_valid_result.recall@10,best_valid_result.recall@20,best_valid_score,config_snapshot.coupling_mode,config_snapshot.dropout_prob,config_snapshot.eval_batch_size,config_snapshot.hidden_size,config_snapshot.hnn_residual_init,config_snapshot.kernel_size,config_snapshot.learning_rate,config_snapshot.loss_type,config_snapshot.num_heads,config_snapshot.num_layers,config_snapshot.train_batch_size,dataset,fit_sec,hyperparameters.learning_rate,model,performance.inference_latency.avg_latency_ms,performance.inference_latency.note,performance.inference_latency.samples_tested,performance.memory.allocated_gb,performance.memory.allocated_mb,performance.memory.max_allocated_mb,performance.memory.reserved_gb,performance.memory.reserved_mb,performance.parameters.total_params,performance.parameters.total_params_m,performance.parameters.total_params_mb,performance.parameters.trainable_params,run_idx,stage,target_behavior_token,test_result.mrr@10,test_result.mrr@20,test_result.ndcg@10,test_result.ndcg@20,test_result.recall@10,test_result.recall@20,test_sec,total_runs,valid_metric_bigger
purchase,0.0394,0.0402,0.0431,0.046,0.0549,0.0665,0.0549,,0.5,256,50,,,0.001,BCE,1,1,128,ampl_ub_purchase,56461.11128306389,0.001,AMPL,0.019182637333869934,Quick test with limited samples,10,0.0408015251159668,41.78076171875,41.78076171875,0.359375,368.0,1641700,1.6417,6.2625885009765625,1641700,1,tune,4,0.0435,0.044,0.0459,0.0478,0.0539,0.0612,0.28223538398742676,2,True
purchase,0.0383,0.0388,0.0414,0.0431,0.0516,0.0584,0.0516,,0.5,256,50,,,0.0005,BCE,1,1,128,ampl_ub_purchase,28966.938552379608,0.0005,AMPL,0.022712815552949905,Quick test with limited samples,10,0.0408015251159668,41.78076171875,41.78076171875,0.359375,368.0,1641700,1.6417,6.2625885009765625,1641700,2,tune,4,0.0442,0.0446,0.0459,0.0476,0.0514,0.0581,0.2651841640472412,2,True
