behavior,best_valid_result.mrr@10,best_valid_result.mrr@20,best_valid_result.ndcg@10,best_valid_result.ndcg@20,best_valid_result.recall@10,best_valid_result.recall@20,best_valid_score,config_snapshot.coupling_mode,config_snapshot.dropout_prob,config_snapshot.eval_batch_size,config_snapshot.hidden_size,config_snapshot.hnn_residual_init,config_snapshot.kernel_size,config_snapshot.learning_rate,config_snapshot.loss_type,config_snapshot.num_heads,config_snapshot.num_layers,config_snapshot.train_batch_size,dataset,fit_sec,hyperparameters.hnn_residual_init,model,performance.inference_latency.avg_latency_ms,performance.inference_latency.note,performance.inference_latency.samples_tested,performance.memory.allocated_gb,performance.memory.allocated_mb,performance.memory.max_allocated_mb,performance.memory.reserved_gb,performance.memory.reserved_mb,performance.parameters.total_params,performance.parameters.total_params_m,performance.parameters.total_params_mb,performance.parameters.trainable_params,run_idx,stage,target_behavior_token,test_result.mrr@10,test_result.mrr@20,test_result.ndcg@10,test_result.ndcg@20,test_result.recall@10,test_result.recall@20,test_sec,total_runs,valid_metric_bigger
purchase,0.0513,0.0563,0.0748,0.093,0.1533,0.2258,0.1533,causal,0.1,4960,50,-7.0,3,0.0005,CE,1,5,2560,ampl_jd_purchase,1474.043127298355,-7.0,CoupledHSR,0.023796269777837678,Quick test with limited samples,1,0.03052997589111328,31.2626953125,31.2626953125,7.62109375,7804.0,915955,0.915955,3.494091033935547,915955,1,tune,4,0.0375,0.0417,0.0558,0.0711,0.1172,0.1781,0.08417224884033203,5,True
purchase,0.0484,0.0529,0.0722,0.0889,0.1514,0.2177,0.1514,causal,0.1,4960,50,-6.0,3,0.0005,CE,1,5,2560,ampl_jd_purchase,1622.4591035842896,-6.0,CoupledHSR,0.023771453657422326,Quick test with limited samples,1,0.03052997589111328,31.2626953125,31.2626953125,7.62109375,7804.0,915955,0.915955,3.494091033935547,915955,2,tune,4,0.0373,0.0414,0.0538,0.069,0.1095,0.1696,0.08680272102355957,5,True
