behavior,best_valid_result.mrr@10,best_valid_result.mrr@20,best_valid_result.ndcg@10,best_valid_result.ndcg@20,best_valid_result.recall@10,best_valid_result.recall@20,best_valid_score,config_snapshot.coupling_mode,config_snapshot.dropout_prob,config_snapshot.eval_batch_size,config_snapshot.hidden_size,config_snapshot.hnn_residual_init,config_snapshot.kernel_size,config_snapshot.learning_rate,config_snapshot.loss_type,config_snapshot.num_heads,config_snapshot.num_layers,config_snapshot.train_batch_size,dataset,fit_sec,hyperparameters.num_layers,model,performance.inference_latency.avg_latency_ms,performance.inference_latency.note,performance.inference_latency.samples_tested,performance.memory.allocated_gb,performance.memory.allocated_mb,performance.memory.max_allocated_mb,performance.memory.reserved_gb,performance.memory.reserved_mb,performance.parameters.total_params,performance.parameters.total_params_m,performance.parameters.total_params_mb,performance.parameters.trainable_params,run_idx,stage,target_behavior_token,test_result.mrr@10,test_result.mrr@20,test_result.ndcg@10,test_result.ndcg@20,test_result.recall@10,test_result.recall@20,test_sec,total_runs,valid_metric_bigger
purchase,0.0388,0.0428,0.0609,0.076,0.1353,0.1959,0.1353,causal,0.5,4960,50,-5.0,3,0.0005,CE,1,2,2560,ampl_jd_purchase,860.2036049365997,2,CoupledHSR,0.010139682978598448,Quick test with limited samples,1,0.028328418731689453,29.00830078125,29.00830078125,4.1328125,4232.0,751702,0.751702,2.8675155639648438,751702,1,tune,4,0.0299,0.0343,0.0453,0.0614,0.0971,0.1611,0.05480194091796875,2,True
purchase,0.0399,0.044,0.0631,0.0784,0.1414,0.2024,0.1414,causal,0.5,4960,50,-5.0,3,0.0005,CE,1,3,2560,ampl_jd_purchase,1310.8166499137878,3,CoupledHSR,0.014705113842566378,Quick test with limited samples,1,0.029164791107177734,29.86474609375,29.86474609375,4.87890625,4996.0,806453,0.806453,3.076374053955078,806453,2,tune,4,0.0304,0.0339,0.0467,0.0597,0.1018,0.1534,0.07569098472595215,2,True
